,ID,NN
1,1,15.94010941
6,6,41.56160215
7,7,14.11276838
8,8,26.42640472
9,9,35.17251227
10,10,13.11099229
11,11,15.95527685
12,12,5.237398479
13,13,37.55702045
16,16,47.59739324
18,18,10.15102076
19,19,45.89763939
20,20,52.00121409
21,21,34.77052159
24,24,38.11526283
26,26,15.75544478
27,27,34.9124848
28,28,8.390221432
29,29,13.75194858
30,30,25.4750917
32,32,23.75449675
33,33,34.30320379
34,34,54.73562436
35,35,15.91229825
36,36,39.54994295
37,37,7.550858818
38,38,23.69622544
40,40,50.8389805
41,41,9.534849178
42,42,14.61006578
43,43,49.5061561
44,44,29.6473192
45,45,35.52726542
47,47,15.27640123
48,48,27.0107572
49,49,10.25302687
50,50,24.83137177
51,51,39.93440699
52,52,21.86723894
53,53,20.16181096
54,54,46.28623065
55,55,7.250832202
57,57,6.33162649
59,59,14.11239192
60,60,15.88225839
61,61,8.211647354
62,62,23.86458167
63,63,15.45918364
66,66,12.40275048
