TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,none,oxalic,sulfuric,acacia,aspen,beech,birch,eucalyptus,maple,mixed,oak,paulownia,poplar,salix,vine,Yield
140,433.15,4,0.142742075,5,90,50,2.7,17.6,5258.527273,8.56760628,407.772901,6.010710404,599.8298264,6.396645992,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,88.18181818
35.3122035,398.15,8,0.101967982,8,22.8122035,12.5,8,18.86363636,124.2394669,4.822210888,4.818566014,1.572476376,5.773233792,1.753232373,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,59.01909589
120,463.15,4,0,10.35,60,60,2.75,20.47,26796.84612,10.19603948,2602.47131,7.864216776,4453.023841,8.401338659,3.71375,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.63263312
53.55234302,373.65,8,0.407871928,8,44.11484302,9.4375,8,18.86363636,45.63589634,3.820694607,0.774330514,-0.255756476,0.785451048,-0.241497143,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,62.52421639
50.23589188,388.15,8,0.101967982,8,38.98589188,11.25,8,18.86363636,107.7861301,4.680148987,3.09847848,1.130911178,3.47727184,1.246248032,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,53.19534923
81.09375,433.15,6,0,5,60,21.09375,6.4,14.72,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,4.451428571,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.9375
13.84043012,408.15,8,0.203935964,8,0.090430118,13.75,8,18.86363636,0.970157791,-0.030296549,0.04839178,-3.028425322,0.061700958,-2.785455825,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35.82614829
46.97512518,398.15,8,0.203935964,8,34.47512518,12.5,8,18.86363636,187.7578891,5.235153309,7.282096466,1.985418797,8.724845789,2.166174793,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.24677146
41.42857143,483.15,15,0,0.59,15,26.42857143,7,15,25995.46347,10.16567732,2510.037946,7.82805315,4701.022412,8.455535298,2.575238095,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.3
65,423.15,5,0,13.375,30,35,2,16.81818182,889.8277371,6.79102789,59.61624406,4.087928088,82.98869625,4.418704409,5.479512195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.456677876
33.73505604,408.15,8,0.203935964,8,19.98505604,13.75,8,18.86363636,214.4048719,5.367866152,10.6945833,2.36973738,13.63591167,2.612706876,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,80.1581486
19.47085429,408.15,8,0.305903946,8,5.720854293,13.75,8,18.86363636,61.37481072,4.116999502,3.061395108,1.11887073,3.90336978,1.361840226,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,73.11422379
9.4375,373.65,8,0.305903946,8,0,9.4375,8,18.86363636,0,0,0,0,0,0,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19.54435248
8,463.15,1.53164557,0.101307885,6,7.5,0.5,330,17.04545455,3349.605765,8.116597936,325.3089138,5.784775235,556.6279801,6.321897118,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,55.05837387
20,463.15,8,8.51E-06,0.509,20,0,0,21.375,8932.28204,9.097427189,867.4904367,6.765604488,1484.34128,7.302726371,3.71375,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.74502924
92.06462585,398.15,8,0.407871928,8,79.56462585,12.5,8,18.86363636,433.3236245,6.071484849,16.80624154,2.821750338,20.13594113,3.002506334,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75.38479063
