Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
0,40,433.15,9,0.152937938,0.84,36,4,67.5,16.59090909,2103.410909,7.651315549,163.1091604,5.094419672,239.9319306,5.48035526,3.695454545,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.47908182
1,91,393.15,5,0.04,3,61,30,3.166666667,16.93181818,236.7029709,5.466806068,7.952891185,2.073535534,9.225745066,2.221997953,2.128411429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.953020134
2,15,366.0439898,4,0,3,0,15,3.09376802,19.9,0,0,0,0,0,0,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.20221898
3,81.15107914,433.15,9,0.101958625,0.84,6,0,0,16.59,350.5684849,5.859556079,27.18486007,3.302660203,39.98865509,3.688595791,3.695454545,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.96988172
4,65.94470338,448.15,20,0.101958625,0.5,20.94470338,45,3.333333333,17.38636364,3383.383607,8.126631555,304.928466,5.720077211,484.9938062,6.18413612,2.879853118,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17914863
5,18.06407862,408.15,8,0.203935964,8,4.314078615,13.75,8,18.86363636,46.28255587,3.834765127,2.308588629,0.836636355,2.943519137,1.079605851,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82.03705838
6,8.033333333,443.15,5,0.0815669,0.38,7.7,0.333333,7.25,22.38636364,886.2357872,6.786983041,76.6381585,4.339095105,118.8307894,4.777700544,3.695454545,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.75126904
7,95,393.15,5,0.2,3,65,30,3.166666667,16.93181818,252.2244771,5.530319473,8.474392247,2.137048939,9.830711955,2.285511358,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52.56375839
8,315,433.15,4.76,0,5,137.8125,177.1875,0.761904762,21.59,8052.119888,8.993690676,624.4022546,6.4367948,918.4894217,6.822730388,3.695454545,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36991712
9,10.282555,463.15,3,0,2.75,10,0.282555,318.5220577,15.94375124,4466.14102,8.404280008,433.7452183,6.072457307,742.1706401,6.60957919,2.879853118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.477773024
10,70,433.15,9,0.132546213,0.5,70,0,0,14.64,4089.965657,8.316291852,317.1567008,5.759395976,466.5343094,6.145331564,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78.68852459
11,74.73324195,408.15,8,0.305903946,8,60.98324195,13.75,8,18.86363636,654.2440587,6.48348046,32.63390204,3.485351688,41.60919532,3.728321184,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70.03626655
12,60,443.15,6,0,0.42,60,0,0,24.88636364,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.744621096
13,100,423.15,3,0.1086,2,95,5,25,12.386,2817.787834,7.9437074,188.7847729,5.240607598,262.7975381,5.571383919,2.128411429,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42.70951074
14,25,423.15,9,0.132546213,0.5,25,0,0,14.64,741.5231142,6.608706333,49.68020338,3.905606531,69.15724687,4.236382852,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.532786885
15,199.7326203,438.15,8,0,5,169.7326203,30,4.666666667,16.70454545,13918.91573,9.541004038,1144.93421,7.043102456,1729.648509,7.455673493,4.144342105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.55094089
16,140,438.15,4,0,5,90,50,2.8,17.6,7380.445867,8.906589331,607.096495,6.408687749,917.1387653,6.821258786,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51.81818182
