,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Source,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,pine,poplar,salix,vine,willow,Yield
0,78.20117474,448.15,20.0,0.101958625,0.5,33.20117474,45.0,3.333333333,18.74431818,5363.280078,8.587331022,483.3672313999999,6.180776677999999,768.8036359,6.644835587,kinetic_characterization_of_biomass_dilute_sulfuric_acid_hydrolysis_mixtures_of_hardwoods_softwood_and_switchgrass.xlsx,4.2693251533742265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.85178922
1,68.8821344,448.15,20.0,0.101958625,0.5,23.882134399999998,45.0,3.333333333,17.38636364,3857.89288,8.257876427000001,347.693757,5.8513220839999995,553.0127142000001,6.315380992000001,kinetic_characterization_of_biomass_dilute_sulfuric_acid_hydrolysis_mixtures_of_hardwoods_softwood_and_switchgrass.xlsx,2.8798531175060065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1806039
2,615.375,373.525,10.0,1.325462127,0.5,540.0,75.375,1.0,19.77272727,553.9048207999999,6.316992868,9.351035413,2.235487076,9.476745305,2.248840935,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,2.128411428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.35632184
3,20.0,513.15,40.0,0.0,5.0,20.0,0.0,0.0,23.78409091,264939.7438,12.487257699999999,20818.587340000002,9.943601489,44064.83417,10.69341733,Physicochemical_Modeling_for_Hot_Water_Extraction_of_Birch_Wood.xlsx,3.5080000000000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293896577
4,2.5333333330000003,443.15,3.9,0.1631338,0.38,2.2,0.333333,7.25,21.93181818,253.2102249,5.534220072,21.89661671,3.086332137,33.95165413,3.524937575,prehydrolysis_of_hardwoods_with_dilute_sulfuric_acid.xlsx,3.2488888888888887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.39378238
5,8.0,463.15,1.53164557,0.050653942,6.0,7.5,0.5,330.0,17.04545455,3349.605765,8.116597936,325.3089138,5.784775235,556.6279801,6.321897118,SteamPretreatmentOfH2SO4ImpregnatedSalixForTheProductionOfBioethanol.xlsx,2.899999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.05348643
6,180.0,363.15,10.0,0.101307885,0.5125,175.0,5.0,13.0,16.3,88.83847847,4.486819872,0.95437867,-0.046694757999999996,0.8952356290000001,-0.11066832300000001,MonomericCarbohydratesProductionFromOliveTreePruningBiomassModeling.xlsx,3.2760638297872338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19018405
7,100.0,423.15,3.7,0.0,2.0,93.0,7.0,16.1,15.48,2758.4659850000003,7.9224300020000005,184.81035659999998,5.2193302,257.2649584,5.55010652,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,3.439166666666664,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2661498709999999
8,41.19267552,373.65,8.0,0.203935964,8.0,31.75517552,9.4375,8.0,18.86363636,32.85007492,3.491954026,0.557386124,-0.584497058,0.565391015,-0.570237724,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,2.128411428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16483228
9,119.7293533,428.15,8.0,0.0,5.0,99.72935327,20.0,6.5,17.84090909,4151.701831,8.331273609,300.6925038,5.70608816,430.42203059999997,6.064766194,kinetic_interpretation_of_hot_water_pretreatment_of_hardwood.xlsx,4.144342105263163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.71976094
