,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Yield,ID,Source,NN Err
1405,150.0,388.15,10.0,1.0195862518989796,0.5,120.0,30.0,3.0,19.77272727272727,331.76964751746783,5.804440895324419,9.537229998829538,64.73563218390804,45,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,2.7454664734588192
1406,226.0,398.15,12.0,0.06729269262533262,0.9,216.0,10.0,10.0,19.34090909090909,1176.3758313945034,7.0701936619214525,45.62515230074146,48.3,43,optimizing_xylose_production_from_pinewood_sawdust_through_dilute_phosphoric_acid_hydrolysis.xlsx,3.767199707031253
1407,35.92203811219561,398.15,8.0,0.2039359641072704,8.0,23.422038112195626,12.5,8.0,18.863636363636367,127.56073869068464,4.848592633052376,4.9473798891791505,81.74058705623537,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.6354234820166198
1408,180.3333333333,413.15,5.0,0.08156690015191835,0.38,180.0,0.333333,5.75,22.38636363636364,2710.3180203459906,7.90482125766987,150.74966888384418,61.1979695431472,46,prehydrolysis_of_hardwoods_with_dilute_sulfuric_acid.xlsx,10.78080548126686
1409,36.95,448.15,8.0,0.0,8.0,18.2,18.75,8.0,18.863636363636367,2940.007339607108,7.9861673567946125,264.969046397559,9.287710843373493,34,MildAutohydrolysisAnEnvironmentallyFriendlyTechnologXyl.xlsx,6.345935044575885
1410,90.0,433.15,4.5,0.21725,4.0,90.0,0.0,0.0,17.2386,5258.527273489599,8.567606280499756,407.77290098149786,14.395286868553855,47,pretreatment_of_hardwood_chips_via_autohydrolysis_supported_by_acetic_and_formic_acid.xlsx,49.30125396396568
1411,41.42857142857143,483.15,15.0,0.0,0.59,15.0,26.42857142857143,7.0,15.0,25995.463467126898,10.165677319746278,2510.0379461635885,32.2,37,OptimizationofHydrothermalACS.xlsx,16.41878204345703
1412,215.0,403.15,10.0,1.0195862518989796,0.5,180.0,35.0,3.0,19.77272727272727,1375.8887376733105,7.226855155974955,60.866804432334796,56.137931034482776,45,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,8.599121882997693
1413,330.0,388.15,10.0,1.2235035022787752,0.5,300.0,30.0,3.0,19.77272727272727,829.4241187936694,6.720731627198575,23.843074997073842,62.20689655172415,45,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAutoclave.xlsx,1.43003200662546
1414,98.9733656309164,453.15,40.0,0.0,0.425,95.20547945205459,3.767886178861788,41.137123745819395,20.9,21585.267719987627,9.979766310969767,2010.5283496955176,72.3786135686708,8,DegradationKineticsOfTheMainCarbohydratesInBirchWoodDuringHotWaterExtractionInABatchReactor.xlsx,6.683552838690332
1415,20.0,433.15,6.0,0.5,0.5,20.0,0.0,0.0,14.64,1168.561616331022,7.063528883723482,90.61620021811063,66.00000000000001,39,optimization_of_acid_hydrolysis_from_the_hemicellulosic_fraction_of_eucalyptus.xlsx,2.121307373046889
