TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Yield,ID,Source
35.0,393.15,4.0,0.0,4.0,15.0,20.0,2.0,19.48,58.20564856981226,4.063982404492041,1.9556289800084847,0.0513347022587269,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
50.0,393.15,4.0,0.0,4.0,30.0,20.0,2.0,19.48,116.41129713962452,4.7571295850519855,3.9112579600169695,0.0513347022587269,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
80.0,393.15,4.0,0.0,4.0,60.0,20.0,2.0,19.48,232.82259427924905,5.450276765611931,7.822515920033939,0.0513347022587269,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
60.0,413.15,4.0,0.0,4.0,30.0,30.0,2.0,19.48,451.7196700576651,6.113061788441817,25.124944813974032,0.1026694045174538,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
55.0,423.15,4.0,0.0,4.0,20.0,35.0,2.0,19.48,593.2184913790765,6.385562782028567,39.74416270583346,0.25667351129363447,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
90.0,413.15,4.0,0.0,4.0,60.0,30.0,2.0,19.48,903.4393401153302,6.806208969001761,50.249889627948065,0.25667351129363447,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
60.0,433.15,4.0,0.0,4.0,20.0,40.0,2.0,19.48,1168.561616331022,7.063528883723482,90.61620021811065,0.6673511293634496,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
90.0,423.15,4.0,0.0,4.0,55.0,35.0,2.0,19.48,1631.3508512924602,7.397163693707047,109.29644744104202,0.7186858316221766,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
80.0,433.15,4.0,0.0,4.0,40.0,40.0,2.0,19.48,2337.123232662044,7.756676064283427,181.2324004362213,1.5400410677618068,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
135.0,423.15,4.0,0.0,4.0,100.0,35.0,2.0,19.48,2966.092456895382,7.995000694462667,198.7208135291673,1.5400410677618068,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
100.0,433.15,4.0,0.0,4.0,60.0,40.0,2.0,19.48,3505.684848993066,8.162141172391593,271.84860065433196,3.0287474332648867,1,AnApplicationStudyOfAutohydrolysisPretreatmentPriorToPoplar.xlsx
60.0,423.15,4.0,0.6117517511,3.0,60.0,0.0,0.0,12.95,1779.6554741372292,7.4841750706966765,119.23248811750038,0.8494208494208495,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
120.0,423.15,4.0,0.6117517511,3.0,120.0,0.0,0.0,12.95,3559.3109482744585,8.177322251256623,238.46497623500076,1.8532818532818534,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
60.0,433.15,4.0,0.6117517511,3.0,60.0,0.0,0.0,12.95,3505.684848993066,8.162141172391593,271.84860065433196,8.494208494208497,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
120.0,433.15,4.0,0.6117517511,3.0,120.0,0.0,0.0,12.95,7011.369697986132,8.855288352951538,543.6972013086639,16.216216216216218,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
60.0,443.15,4.0,0.6117517511,3.0,60.0,0.0,0.0,12.95,6905.733406864945,8.840107274086508,597.1804558505349,20.154440154440156,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
120.0,443.15,4.0,0.6117517511,3.0,120.0,0.0,0.0,12.95,13811.46681372989,9.533254454646453,1194.3609117010699,29.652509652509654,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
60.0,453.15,4.0,0.6117517511,3.0,60.0,0.0,0.0,12.95,13603.377354467051,9.518073375781423,1267.0667872901276,31.660231660231652,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
120.0,453.15,4.0,0.6117517511,3.0,120.0,0.0,0.0,12.95,27206.754708934102,10.211220556341368,2534.1335745802553,18.53281853281853,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
0.0,453.15,4.0,0.6117517511,3.0,0.0,0.0,0.0,12.95,0.0,0.0,0.0,0.0,2,Autohydrolysis Pretreatment of Mixed Hardwoods to Extract Value Prior to Combustion.xlsx
0.0,468.15,8.0,0.0,8.0,0.0,0.0,3.3,19.886,0.0,0.0,0.0,0.0,3,Bioethanol production from hydrothermally pretreated Eucalyptus globulus wood.xlsx
43.93939394,468.15,8.0,0.0,8.0,0.0,43.93939394,3.3,19.886,0.0,0.0,0.0,9.61480438499447,3,Bioethanol production from hydrothermally pretreated Eucalyptus globulus wood.xlsx
45.45454545,473.15,8.0,0.0,8.0,0.0,45.45454545,3.3,19.886,0.0,0.0,0.0,17.902041637332797,3,Bioethanol production from hydrothermally pretreated Eucalyptus globulus wood.xlsx
